,university,country,ror_id,country_code,latitude,longitude,main_field,period,num_pubs,num_pubs_oa,num_pubs_gold_oa,num_pubs_hybrid_oa,num_pubs_bronze_oa,num_pubs_green_oa,prop_pubs_oa,prop_pubs_gold_oa,prop_pubs_hybrid_oa,prop_pubs_bronze_oa,prop_pubs_green_oa,num_pubs_top_1,num_pubs_top_10,prop_pubs_top_1,prop_pubs_top_10,ISO-3,geometry,English Institution Name,Foundation year,Total third party funding (EURO),Total academic personnel (HC),Total students enrolled ISCED 5-7,ETER_year,ranking,English Institution Namethe,location,overall score,teaching score,research score,citations score,industry income score,intl outlook score
127,University of Oxford,United Kingdom,052gg0110,GB,51.756647,-1.254714,All sciences,2018-2021,51915.0,45283.0,14834.0,12027.0,5399.0,13023.0,0.872252720793605,0.285736299720697,0.231667148223057,0.103996918039102,0.250852354810748,1744.34585137085,10753.8765518281,0.0336000356615786,0.207143918941117,GBR,POINT (51.756647 -1.254714),University of Oxford,1096,907341786.8776176,6950.0,22225.0,2021,1.0,University of Oxford,United Kingdom,95.6,91.3,99.6,98.0,68.7,96.4
95,University of Cambridge,United Kingdom,013meh722,GB,52.204293,0.114812,All sciences,2018-2021,41514.0,34851.0,10556.0,9906.0,4140.0,10249.0,0.839499927735222,0.254275666040372,0.238618297441827,0.0997253938430409,0.246880570409982,1381.1975537518,8621.37723135907,0.0332706449330779,0.207673970982297,GBR,POINT (52.204293 0.114812),University of Cambridge,1209,1714517217.310377,6130.0,18205.0,2021,6.0,University of Cambridge,United Kingdom,94.0,90.3,99.2,95.6,52.1,95.7
117,Imperial College London,United Kingdom,041kmwe10,GB,51.498795,-0.17489,All sciences,2018-2021,40286.0,34338.0,11166.0,8563.0,4080.0,10529.0,0.852355657052078,0.277168247033709,0.212555230104751,0.101275877476046,0.261356302437571,1354.25698809522,8337.27562619532,0.0336160698032871,0.206952182549653,GBR,POINT (51.498795 -0.17489),Imperial College London,1907,485894602.14053047,4440.0,17370.0,2021,11.0,Imperial College London,United Kingdom,89.4,82.3,88.2,97.2,69.6,97.4
322,Eidgenössische Technische Hochschule Zürich,Switzerland,05a28rw58,CH,47.375723,8.54793,All sciences,2018-2021,25624.0,19649.0,6288.0,5373.0,1784.0,6204.0,0.766820168591945,0.245394942241648,0.209686231657821,0.0696222291601624,0.242116765532313,774.682273809525,5176.3376720865,0.0302326831802031,0.202011304717706,CHE,POINT (47.375723 8.54793),Federal Institute of Technology Zurich,1855,361059577.430395,3647.0,19431.0,2021,14.0,ETH Zurich,Switzerland,87.9,80.4,92.3,90.5,62.8,98.0
404,London School of Economics and Political Science,United Kingdom,0090zs177,GB,51.514401,-0.117398,All sciences,2018-2021,5166.0,4448.0,812.0,1279.0,414.0,1943.0,0.861014324428959,0.157181571815718,0.247580332946187,0.0801393728222996,0.376113046844754,149.912063492062,930.061869660871,0.0290189824800739,0.18003520512212,GBR,POINT (51.514401 -0.117398),London School of Economics and Political Science,1895,65338529.54862727,1830.0,12425.0,2021,27.0,London School of Economics and Political Science,United Kingdom,81.4,68.5,82.5,94.3,34.1,92.8
105,The University of Edinburgh,United Kingdom,01nrxwf90,GB,55.944522,-3.189327,All sciences,2018-2021,27269.0,24281.0,7589.0,5987.0,2637.0,8068.0,0.890425024753383,0.278301367853607,0.219553338956324,0.0967032161062012,0.295867101837251,724.551358585858,4913.57399167498,0.0265705144517899,0.180189005525505,GBR,POINT (55.944522 -3.189327),University of Edinburgh,1582,445169846.4402048,7725.0,37425.0,2021,30.0,University of Edinburgh,United Kingdom,79.4,67.2,74.7,96.0,38.7,94.6
368,King's College London,United Kingdom,0220mzb33,GB,51.511533,-0.116029,All sciences,2018-2021,30230.0,24638.0,8400.0,6602.0,3199.0,6437.0,0.815018193847172,0.277869665894806,0.218392325504466,0.105822031094939,0.212934171352961,854.280916666674,5667.80051448988,0.0282593753445807,0.18748926610949,GBR,POINT (51.511533 -0.116029),King's College London,1829,350577012.56398326,5720.0,38540.0,2021,35.0,King’s College London,United Kingdom,76.1,57.3,72.4,96.6,43.6,95.4
311,Karolinska Institutet,Sweden,056d84691,SE,59.348148,18.023572,All sciences,2018-2021,29472.0,23601.0,10088.0,7254.0,3259.0,3000.0,0.800793973941368,0.34229098805646,0.246131921824104,0.110579533116178,0.101791530944625,755.609999999986,5174.77763882731,0.0256382328990223,0.175582846051415,SWE,POINT (59.348148 18.023572),Karolinska Institutet,1861,371105701.9415561,2935.0,10299.999999999987,2021,36.0,Karolinska Institute,Sweden,76.0,57.6,72.2,95.8,71.4,87.3
80,Technical University of Munich,Germany,02kkvpp62,DE,48.149653,11.56786,All sciences,2018-2021,25305.0,17192.0,7110.0,4465.0,1779.0,3838.0,0.67939142461964,0.280972139893302,0.176447342422446,0.0703023117960877,0.151669630507805,519.496590909093,3906.90867941785,0.0205294048966249,0.154392755558896,DEU,POINT (48.149653 11.56786),Technical University of Munich,1868,372196130.0,9039.0,44816.0,2021,41.0,Technical University of Munich,Germany,74.8,63.8,73.6,85.0,100.0,74.4
320,Ecole Polytechnique Fédérale de Lausanne,Switzerland,02s376052,CH,46.519093,6.566736,All sciences,2018-2021,15232.0,11693.0,3619.0,2716.0,904.0,4454.0,0.76766018907563,0.237591911764706,0.178308823529412,0.0593487394957983,0.292410714285714,457.298857142863,2943.60875265694,0.0300222463985598,0.193251625043129,CHE,POINT (46.519093 6.566736),Federal Institute of Technology Lausanne,1969,266846770.16927207,1952.0,9987.0,2021,43.0,École Polytechnique Fédérale de Lausanne,Switzerland,74.1,63.9,66.7,85.8,73.3,98.5
